,engine_name,setup_name,dataset_name,search_idx,upload_time,total_upload_time,p95_time,rps,parallel,p99_time,mean_time,mean_precisions,engine_params
4,pgvector,pgvector-m-32-ef-512,glove-100-angular,0,14.02430341699801,1737.5424360069956,0.004108284797985107,322.50779794253964,1,0.004743992589064874,0.0030461727415829953,0.581009,"{'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
6,pgvector,pgvector-m-32-ef-512,glove-100-angular,2,14.02430341699801,1737.5424360069956,0.10595321905566375,1790.293141692945,100,0.16210624104765886,0.04140006313908525,0.581009,"{'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
0,pgvector,pgvector-m-32-ef-256,glove-100-angular,0,13.43498271000135,935.5831619360033,0.0040607614497275785,333.26456411272983,1,0.004758928143346566,0.002941932186687336,0.5816359999999999,"{'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
2,pgvector,pgvector-m-32-ef-256,glove-100-angular,2,13.43498271000135,935.5831619360033,0.10348911700275493,1812.8609753028552,100,0.16062956873640402,0.03934470764481157,0.5816359999999999,"{'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
8,pgvector,pgvector-m-64-ef-256,glove-100-angular,0,13.66972124199674,1878.880217136997,0.006821172447234857,202.65531682734775,1,0.007811771035849236,0.0048736472488722935,0.6139049999999999,"{'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
10,pgvector,pgvector-m-64-ef-256,glove-100-angular,2,13.66972124199674,1878.880217136997,0.1861039102510403,1105.9956832258413,100,0.2990446566702304,0.07740576265326309,0.6139050000000001,"{'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
12,pgvector,pgvector-m-64-ef-512,glove-100-angular,0,13.772812246003014,3149.8204901260033,0.006922911596120682,196.37511632295534,1,0.00786469534781645,0.00502161629550028,0.616767,"{'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
14,pgvector,pgvector-m-64-ef-512,glove-100-angular,2,13.772812246003014,3149.8204901260033,0.19424709150080158,1088.7733884252937,100,0.3088942198644509,0.0829460192567407,0.6167670000000001,"{'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
50,weaviate,weaviate-m-32-ef-256,glove-100-angular,2,514.320834281003,514.3208749580008,0.05426312900162882,2092.7359992309543,100,0.13064117498826833,0.021939878101394424,0.765644,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 32}, 'ef': 64}"
48,weaviate,weaviate-m-32-ef-256,glove-100-angular,0,514.320834281003,514.3208749580008,0.003825035856061731,371.96463206807,1,0.004511312848408125,0.002613203267746576,0.7656440000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 32}, 'ef': 64}"
32,redis,redis-m-32-ef-256,glove-100-angular,0,1024.375903209002,1024.3759496269995,0.0017715060494083443,734.7251999360467,1,0.002104847466835054,0.0013141534384958505,0.765863,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 256}, 'EF': 64}"
34,redis,redis-m-32-ef-256,glove-100-angular,2,1024.375903209002,1024.3759496269995,0.062175367397867366,1744.3084791171468,100,0.07249104584429006,0.054287512558005985,0.7658630000000001,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 256}, 'EF': 64}"
36,redis,redis-m-32-ef-512,glove-100-angular,0,1872.581662800003,1872.5817070720004,0.001888136150955688,720.2623412506205,1,0.00222117226716364,0.001335665615151811,0.7724730000000002,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 512}, 'EF': 64}"
38,redis,redis-m-32-ef-512,glove-100-angular,2,1872.581662800003,1872.5817070720004,0.06482592440079316,1686.0415359034034,100,0.07083312516297156,0.056119570531243515,0.7724730000000002,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 512}, 'EF': 64}"
54,weaviate,weaviate-m-32-ef-512,glove-100-angular,2,933.3762714730037,933.3763043319996,0.059844769696792345,2100.5012565419775,100,0.0831003791451076,0.023781228203045613,0.7725380000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 32}, 'ef': 64}"
52,weaviate,weaviate-m-32-ef-512,glove-100-angular,0,933.3762714730037,933.3763043319996,0.004013835798832588,348.1009707664644,1,0.0046323478328849895,0.0027915315874430234,0.7725380000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 32}, 'ef': 64}"
56,weaviate,weaviate-m-64-ef-256,glove-100-angular,0,635.8062502399989,635.8062955610003,0.00473946399797569,316.654972247056,1,0.005282410570725915,0.00307184072011587,0.811201,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 64}, 'ef': 64}"
58,weaviate,weaviate-m-64-ef-256,glove-100-angular,2,635.8062502399989,635.8062955610003,0.0544177963027323,1955.5372916034814,100,0.08673798918629477,0.02324363371600848,0.8112010000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 64}, 'ef': 64}"
42,redis,redis-m-64-ef-256,glove-100-angular,2,1282.9018980670007,1282.9019425290026,0.07484184995300892,1443.8422438023483,100,0.08800200068420964,0.06622982443720976,0.81121,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 256}, 'EF': 64}"
40,redis,redis-m-64-ef-256,glove-100-angular,0,1282.9018980670007,1282.9019425290026,0.0019462888514681248,639.9008795790463,1,0.0023101591303566257,0.0015128736069556909,0.81121,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 256}, 'EF': 64}"
44,redis,redis-m-64-ef-512,glove-100-angular,0,2628.445094128001,2628.4451461360004,0.0021548693974182244,588.9029507484069,1,0.0025773747958010066,0.0016442150663853682,0.829536,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 512}, 'EF': 64}"
46,redis,redis-m-64-ef-512,glove-100-angular,2,2628.445094128001,2628.4451461360004,0.08279481200079317,1301.9984094694928,100,0.09222598018634018,0.07346879567450597,0.829536,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 512}, 'EF': 64}"
60,weaviate,weaviate-m-64-ef-512,glove-100-angular,0,1349.7649877160002,1349.7650205850005,0.005248668901185737,286.12126786749525,1,0.005835294068383519,0.003408242746329779,0.8299200000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 64}"
62,weaviate,weaviate-m-64-ef-512,glove-100-angular,2,1349.7649877160002,1349.7650205850005,0.07362678485224021,1805.816621511719,100,0.1077984373368236,0.03204473057548894,0.8299200000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 64}"
18,qdrant,qdrant-m-32-ef-256,glove-100-angular,2,22.014017472996784,307.3713316989961,0.08506963060244742,1258.8272027129428,100,0.09871302110106639,0.06831819399037777,0.8729959999999999,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
16,qdrant,qdrant-m-32-ef-256,glove-100-angular,0,22.014017472996784,307.3713316989961,0.003025945002082153,386.3977056631391,1,0.003354092609079089,0.0024992955187146436,0.8729960000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 256}, 'hnsw_ef': 64}"
20,qdrant,qdrant-m-32-ef-512,glove-100-angular,0,22.020964166993508,582.6267502909977,0.0031913783481286357,367.0504187861243,1,0.003492973839165643,0.0026322471439831135,0.878705,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
22,qdrant,qdrant-m-32-ef-512,glove-100-angular,2,22.020964166993508,582.6267502909977,0.09047066895363969,1176.9374060572782,100,0.09833083948105924,0.07362079554710799,0.8787050000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 32, 'ef_construct': 512}, 'hnsw_ef': 64}"
24,qdrant,qdrant-m-64-ef-256,glove-100-angular,0,21.813324732000183,337.2039692759936,0.003305434653157135,351.28761617104067,1,0.003686696479926468,0.0027542937449077727,0.9037210000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
26,qdrant,qdrant-m-64-ef-256,glove-100-angular,2,21.813324732000183,337.2039692759936,0.10071293330038315,1055.8283647236663,100,0.10694047992023116,0.08478030333762362,0.9037210000000001,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 256}, 'hnsw_ef': 64}"
28,qdrant,qdrant-m-64-ef-512,glove-100-angular,0,22.193030128997634,647.909977958996,0.00345625389709312,331.87960095129716,1,0.0038642246922245254,0.0029201463693432745,0.917141,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
30,qdrant,qdrant-m-64-ef-512,glove-100-angular,2,22.193030128997634,647.909977958996,0.11211057434884422,939.4625969915871,100,0.11734170032708789,0.10179625261748297,0.917141,"{'optimizers_config': {'memmap_threshold': 10000000}, 'hnsw_config': {'m': 64, 'ef_construct': 512}, 'hnsw_ef': 64}"
