,pesquisa_id,Configuração,Tempo de Upload (ms),Total,Latência p95 (s),RPS,Latência Média (s),Precisão Média,Engine Params
58,0,redis-m-64-ef-512,2628.445094128001,2628.4451461360004,0.0021548693974182244,588.9029507484069,0.0016442150663853682,0.829536,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 512}, 'EF': 64}"
59,1,redis-m-64-ef-512,2628.445094128001,2628.4451461360004,0.0046535058463632595,269.7828193298352,0.0036246129415070756,0.9674320000000002,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 512}, 'EF': 512}"
51,1,redis-m-32-ef-512,1872.581662800003,1872.5817070720004,0.003554753299977164,343.5547189349265,0.0028354411822183465,0.933034,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 512}, 'EF': 512}"
50,0,redis-m-32-ef-512,1872.581662800003,1872.5817070720004,0.001888136150955688,720.2623412506205,0.001335665615151811,0.7724730000000002,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 512}, 'EF': 64}"
74,0,weaviate-m-64-ef-512,1349.7649877160002,1349.7650205850005,0.005248668901185737,286.12126786749525,0.003408242746329779,0.8299200000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 64}"
75,1,weaviate-m-64-ef-512,1349.7649877160002,1349.7650205850005,0.01404075595564791,115.08683927572095,0.008579795552051656,0.9674590000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 64}, 'ef': 512}"
55,1,redis-m-64-ef-256,1282.9018980670007,1282.9019425290026,0.004274355799498152,299.2723027802088,0.003261784195711516,0.952518,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 256}, 'EF': 512}"
54,0,redis-m-64-ef-256,1282.9018980670007,1282.9019425290026,0.0019462888514681248,639.9008795790463,0.0015128736069556909,0.81121,"{'hnsw_config': {'M': 64, 'EF_CONSTRUCTION': 256}, 'EF': 64}"
46,0,redis-m-32-ef-256,1024.375903209002,1024.3759496269995,0.0017715060494083443,734.7251999360467,0.0013141534384958505,0.765863,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 256}, 'EF': 64}"
47,1,redis-m-32-ef-256,1024.375903209002,1024.3759496269995,0.0034711549527855815,352.58569173625204,0.0027638448672179946,0.925242,"{'hnsw_config': {'M': 32, 'EF_CONSTRUCTION': 256}, 'EF': 512}"
12,0,elasticsearch-m-64-ef-512,999.5082836330002,6322.967923452001,0.005513090649219521,234.06764529587377,0.004206448521004131,0.8745720000000001,"{'index_options': {'m': 64, 'ef_construction': 512}, 'num_candidates': 128}"
13,1,elasticsearch-m-64-ef-512,999.5082836330002,6322.967923452001,0.011610219798421894,112.71082140733346,0.008792121538021093,0.970931,"{'index_options': {'m': 64, 'ef_construction': 512}, 'num_candidates': 512}"
66,0,weaviate-m-32-ef-512,933.3762714730037,933.3763043319996,0.004013835798832588,348.1009707664644,0.0027915315874430234,0.7725380000000001,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 32}, 'ef': 64}"
67,1,weaviate-m-32-ef-512,933.3762714730037,933.3763043319996,0.00990734010010783,154.98344220437932,0.006341769843927613,0.933019,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 512, 'maxConnections': 32}, 'ef': 512}"
70,0,weaviate-m-64-ef-256,635.8062502399989,635.8062955610003,0.00473946399797569,316.654972247056,0.00307184072011587,0.811201,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 64}, 'ef': 64}"
71,1,weaviate-m-64-ef-256,635.8062502399989,635.8062955610003,0.012224692956078791,130.55952971839753,0.007549148461567529,0.952566,"{'batch_size': 1024, 'vectorIndexConfig': {'efConstruction': 256, 'maxConnections': 64}, 'ef': 512}"
